Spiegel;http://www.spiegel.de/schlagzeilen/rss/0,5291,676,00.xml
Guardian World;http://www.guardian.co.uk/rssfeed/0,15065,12,00.xml
About Python;http://0.tqn.com/6/g/python/b/index.xml
About Google;http://0.tqn.com/6/g/google/b/index.xml
About Home Recording;http://0.tqn.com/6/g/homerecording/b/index.xml
About PHP;http://0.tqn.com/6/g/php/b/index.xml
About Plus-Size;http://0.tqn.com/6/g/plussize/b/index.xml
About Terrorism;http://0.tqn.com/6/g/terrorism/b/index.xml
About Weather;http://0.tqn.com/6/g/weather/b/index.xml
About Web Design;http://0.tqn.com/6/g/webdesign/b/index.xml
About Web Search;http://0.tqn.com/6/g/websearch/b/index.xml 
